UserID,Date,Category,Expense Amount
1,2022-01,Food,530.82
1,2022-01,Housing,1445.43
1,2022-01,Utilities,201.24
1,2022-01,Transportation,187.62
1,2022-01,Entertainment,125.33
1,2022-01,Recurring Payments,246.06
1,2022-01,Miscellaneous,73.52
1,2022-01,Healthcare,107.76
1,2022-01,Savings,375.53
1,2022-01,Taxes,311.99
1,2022-02,Food,616.87
1,2022-02,Housing,1445.43
1,2022-02,Utilities,261.82
1,2022-02,Transportation,155.54
1,2022-02,Entertainment,104.01
1,2022-02,Recurring Payments,246.06
1,2022-02,Miscellaneous,54.26
1,2022-02,Healthcare,128.81
1,2022-02,Savings,372.18
1,2022-02,Taxes,256.93
1,2022-03,Food,452.96
1,2022-03,Housing,1445.43
1,2022-03,Utilities,209.8
1,2022-03,Transportation,142.49
1,2022-03,Entertainment,85.17
1,2022-03,Recurring Payments,246.06
1,2022-03,Miscellaneous,85.61
1,2022-03,Healthcare,133.05
1,2022-03,Savings,408.57
1,2022-03,Taxes,292.11
1,2022-04,Food,440.52
1,2022-04,Housing,1445.43
1,2022-04,Utilities,166.01
1,2022-04,Transportation,177.58
1,2022-04,Entertainment,101.53
1,2022-04,Recurring Payments,246.06
1,2022-04,Miscellaneous,86.38
1,2022-04,Healthcare,115.62
1,2022-04,Savings,415.46
1,2022-04,Taxes,267.06
1,2022-05,Food,434.64
1,2022-05,Housing,1445.43
1,2022-05,Utilities,171.76
1,2022-05,Transportation,146.5
1,2022-05,Entertainment,103.02
1,2022-05,Recurring Payments,246.06
1,2022-05,Miscellaneous,75.15
1,2022-05,Healthcare,146.84
1,2022-05,Savings,428.15
1,2022-05,Taxes,265.12
1,2022-06,Food,520.02
1,2022-06,Housing,1445.43
1,2022-06,Utilities,200.14
1,2022-06,Transportation,148.4
1,2022-06,Entertainment,109.83
1,2022-06,Recurring Payments,246.06
1,2022-06,Miscellaneous,65.18
1,2022-06,Healthcare,129.23
1,2022-06,Savings,385.78
1,2022-06,Taxes,318.93
1,2022-07,Food,590.25
1,2022-07,Housing,1445.43
1,2022-07,Utilities,220.65
1,2022-07,Transportation,176.41
1,2022-07,Entertainment,119.04
1,2022-07,Recurring Payments,246.06
1,2022-07,Miscellaneous,76.79
1,2022-07,Healthcare,113.01
1,2022-07,Savings,358.48
1,2022-07,Taxes,310.47
1,2022-08,Food,619.51
1,2022-08,Housing,1445.43
1,2022-08,Utilities,224.14
1,2022-08,Transportation,174.47
1,2022-08,Entertainment,115.98
1,2022-08,Recurring Payments,246.06
1,2022-08,Miscellaneous,73.96
1,2022-08,Healthcare,120.84
1,2022-08,Savings,326.97
1,2022-08,Taxes,275.9
1,2022-09,Food,563.12
1,2022-09,Housing,1445.43
1,2022-09,Utilities,188.27
1,2022-09,Transportation,135.8
1,2022-09,Entertainment,107.09
1,2022-09,Recurring Payments,246.06
1,2022-09,Miscellaneous,61.95
1,2022-09,Healthcare,144.25
1,2022-09,Savings,426.27
1,2022-09,Taxes,250.53
1,2022-10,Food,496.38
1,2022-10,Housing,1445.43
1,2022-10,Utilities,206.6
1,2022-10,Transportation,160.83
1,2022-10,Entertainment,101.97
1,2022-10,Recurring Payments,246.06
1,2022-10,Miscellaneous,64.33
1,2022-10,Healthcare,88.13
1,2022-10,Savings,325.61
1,2022-10,Taxes,305.13
1,2022-11,Food,376.05
1,2022-11,Housing,1445.43
1,2022-11,Utilities,232.89
1,2022-11,Transportation,144.6
1,2022-11,Entertainment,120.84
1,2022-11,Recurring Payments,246.06
1,2022-11,Miscellaneous,84.89
1,2022-11,Healthcare,103.66
1,2022-11,Savings,367.82
1,2022-11,Taxes,331.17
1,2022-12,Food,591.42
1,2022-12,Housing,1445.43
1,2022-12,Utilities,228.04
1,2022-12,Transportation,158.97
1,2022-12,Entertainment,97.07
1,2022-12,Recurring Payments,246.06
1,2022-12,Miscellaneous,77.18
1,2022-12,Healthcare,126.48
1,2022-12,Savings,423.09
1,2022-12,Taxes,274.69
1,2023-01,Food,585.0
1,2023-01,Housing,1445.43
1,2023-01,Utilities,222.93
1,2023-01,Transportation,156.04
1,2023-01,Entertainment,118.82
1,2023-01,Recurring Payments,246.06
1,2023-01,Miscellaneous,77.13
1,2023-01,Healthcare,118.21
1,2023-01,Savings,354.03
1,2023-01,Taxes,357.97
1,2023-02,Food,592.81
1,2023-02,Housing,1445.43
1,2023-02,Utilities,206.29
1,2023-02,Transportation,156.68
1,2023-02,Entertainment,121.38
1,2023-02,Recurring Payments,246.06
1,2023-02,Miscellaneous,67.22
1,2023-02,Healthcare,122.23
1,2023-02,Savings,417.47
1,2023-02,Taxes,362.66
1,2023-03,Food,520.08
1,2023-03,Housing,1445.43
1,2023-03,Utilities,198.54
1,2023-03,Transportation,145.43
1,2023-03,Entertainment,104.17
1,2023-03,Recurring Payments,246.06
1,2023-03,Miscellaneous,87.29
1,2023-03,Healthcare,102.74
1,2023-03,Savings,480.31
1,2023-03,Taxes,302.45
1,2023-04,Food,492.27
1,2023-04,Housing,1445.43
1,2023-04,Utilities,199.79
1,2023-04,Transportation,169.03
1,2023-04,Entertainment,87.58
1,2023-04,Recurring Payments,246.06
1,2023-04,Miscellaneous,73.79
1,2023-04,Healthcare,117.87
1,2023-04,Savings,407.14
1,2023-04,Taxes,309.88
1,2023-05,Food,457.7
1,2023-05,Housing,1445.43
1,2023-05,Utilities,209.09
1,2023-05,Transportation,117.64
1,2023-05,Entertainment,103.59
1,2023-05,Recurring Payments,246.06
1,2023-05,Miscellaneous,66.69
1,2023-05,Healthcare,104.6
1,2023-05,Savings,496.03
1,2023-05,Taxes,301.11
1,2023-06,Food,532.03
1,2023-06,Housing,1445.43
1,2023-06,Utilities,218.72
1,2023-06,Transportation,147.97
1,2023-06,Entertainment,119.5
1,2023-06,Recurring Payments,246.06
1,2023-06,Miscellaneous,89.21
1,2023-06,Healthcare,114.12
1,2023-06,Savings,431.35
1,2023-06,Taxes,291.44
1,2023-07,Food,522.4
1,2023-07,Housing,1445.43
1,2023-07,Utilities,224.32
1,2023-07,Transportation,160.89
1,2023-07,Entertainment,103.9
1,2023-07,Recurring Payments,246.06
1,2023-07,Miscellaneous,83.17
1,2023-07,Healthcare,137.29
1,2023-07,Savings,342.31
1,2023-07,Taxes,267.18
1,2023-08,Food,515.97
1,2023-08,Housing,1445.43
1,2023-08,Utilities,214.85
1,2023-08,Transportation,163.12
1,2023-08,Entertainment,117.19
1,2023-08,Recurring Payments,246.06
1,2023-08,Miscellaneous,70.13
1,2023-08,Healthcare,106.81
1,2023-08,Savings,434.41
1,2023-08,Taxes,305.3
1,2023-09,Food,433.73
1,2023-09,Housing,1445.43
1,2023-09,Utilities,215.32
1,2023-09,Transportation,187.84
1,2023-09,Entertainment,83.8
1,2023-09,Recurring Payments,246.06
1,2023-09,Miscellaneous,84.39
1,2023-09,Healthcare,118.24
1,2023-09,Savings,342.58
1,2023-09,Taxes,322.52
