UserID,Date,Category,Expense Amount
1,2022-01,Food,597.09
1,2022-01,Housing,1501.39
1,2022-01,Utilities,251.49
1,2022-01,Transportation,177.67
1,2022-01,Entertainment,128.5
1,2022-01,Recurring Payments,236.82
1,2022-01,Miscellaneous,70.57
1,2022-01,Healthcare,112.08
1,2022-01,Savings,375.27
1,2022-01,Taxes,297.41
1,2022-02,Food,666.68
1,2022-02,Housing,1501.39
1,2022-02,Utilities,196.99
1,2022-02,Transportation,164.24
1,2022-02,Entertainment,95.84
1,2022-02,Recurring Payments,236.82
1,2022-02,Miscellaneous,64.7
1,2022-02,Healthcare,144.42
1,2022-02,Savings,409.61
1,2022-02,Taxes,301.55
1,2022-03,Food,558.06
1,2022-03,Housing,1501.39
1,2022-03,Utilities,221.56
1,2022-03,Transportation,150.13
1,2022-03,Entertainment,95.78
1,2022-03,Recurring Payments,236.82
1,2022-03,Miscellaneous,74.84
1,2022-03,Healthcare,142.23
1,2022-03,Savings,357.17
1,2022-03,Taxes,306.97
1,2022-04,Food,461.8
1,2022-04,Housing,1501.39
1,2022-04,Utilities,193.72
1,2022-04,Transportation,141.76
1,2022-04,Entertainment,108.65
1,2022-04,Recurring Payments,236.82
1,2022-04,Miscellaneous,63.94
1,2022-04,Healthcare,105.18
1,2022-04,Savings,318.88
1,2022-04,Taxes,251.16
1,2022-05,Food,492.22
1,2022-05,Housing,1501.39
1,2022-05,Utilities,187.72
1,2022-05,Transportation,169.58
1,2022-05,Entertainment,98.25
1,2022-05,Recurring Payments,236.82
1,2022-05,Miscellaneous,71.8
1,2022-05,Healthcare,128.51
1,2022-05,Savings,394.99
1,2022-05,Taxes,287.36
1,2022-06,Food,601.22
1,2022-06,Housing,1501.39
1,2022-06,Utilities,205.81
1,2022-06,Transportation,189.84
1,2022-06,Entertainment,132.09
1,2022-06,Recurring Payments,236.82
1,2022-06,Miscellaneous,65.48
1,2022-06,Healthcare,122.43
1,2022-06,Savings,420.3
1,2022-06,Taxes,296.15
1,2022-07,Food,507.81
1,2022-07,Housing,1501.39
1,2022-07,Utilities,186
1,2022-07,Transportation,175.53
1,2022-07,Entertainment,96.01
1,2022-07,Recurring Payments,236.82
1,2022-07,Miscellaneous,92.22
1,2022-07,Healthcare,93.25
1,2022-07,Savings,305.51
1,2022-07,Taxes,352.1
1,2022-08,Food,517.61
1,2022-08,Housing,1501.39
1,2022-08,Utilities,231.04
1,2022-08,Transportation,150.27
1,2022-08,Entertainment,108.31
1,2022-08,Recurring Payments,236.82
1,2022-08,Miscellaneous,75.47
1,2022-08,Healthcare,106.42
1,2022-08,Savings,415.93
1,2022-08,Taxes,399.34
1,2022-09,Food,574.47
1,2022-09,Housing,1501.39
1,2022-09,Utilities,192.82
1,2022-09,Transportation,152.63
1,2022-09,Entertainment,107.18
1,2022-09,Recurring Payments,236.82
1,2022-09,Miscellaneous,65.24
